px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
97.4252	18.7287	1.31311	-0.434946	-0.0475457	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	381250
98.2295	18.3625	1.01295	-0.372775	0.0132099	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	38228.9
98.2477	18.368	0.964566	-0.374699	-0.00114597	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	366636
99.0355	17.4051	1.3254	-1.20454	-0.549889	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	39625.1
99.0542	17.4807	1.4061	-0.841866	-0.117495	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	332179
99.9825	16.9578	1.05472	-0.49459	0.217023	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	33580.5
100.061	16.9734	1.06153	-0.426421	0.262906	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	313164
101.181	16.5435	1.40371	-0.211359	0.231566	101.204	16.5368	101.065	16.497	0.991362	-0.513687	40056
101.152	16.5371	1.16655	-0.272173	0.150536	101.169	16.4353	101.065	16.497	0.991362	-0.513687	297328
102.363	16.3931	1.44153	0.0619853	0.274862	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	39416.4
102.275	16.3837	1.12747	0.0187493	0.234179	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	292047
103.033	15.4218	0.673399	-1.10456	-0.650013	103.003	15.353	103.119	15.4967	1.11708	-0.508169	42188.6
103.002	15.516	0.988459	-0.741846	-0.178757	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	261974
104.065	15.2387	1.07038	-0.0166533	0.438085	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	41291.2
104.034	15.2215	1.18738	-0.0516047	0.413375	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	252193
105.502	14.4847	1.64862	-0.84191	-0.363638	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	43208.3
105.462	14.5135	1.708	-0.718491	-0.199329	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	229402
106.812	14.0204	1.40462	-0.260837	0.274934	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	37633.9
106.761	14.0046	1.49083	-0.291637	0.257185	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	213384
108.08	13.6645	1.55781	-0.117145	0.19811	108.084	13.6604	108.122	13.644	1.47592	-0.423202	44318.7
108.091	13.666	1.58366	-0.112603	0.202998	108.131	13.6844	108.122	13.644	1.47592	-0.423202	203304
109.529	13.5725	1.65936	0.0512453	0.176739	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	44700.8
109.487	13.5667	1.5391	0.0429003	0.167515	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	200520
111.055	12.6247	1.60523	-0.904293	-0.607092	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	47938.9
111.151	12.7168	2.01535	-0.636437	-0.216049	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	176136
112.897	12.4522	1.57744	-0.0198969	0.401496	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	37710.8
112.9	12.44	1.74115	-0.0216171	0.398977	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	168538
114.77	12.5509	2.13864	0.199421	0.259262	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	51025
114.774	12.5524	1.96288	0.206688	0.263148	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	171799
116.685	12.1316	1.83448	-0.338754	-0.309073	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	57622.8
116.74	12.1656	2.18009	-0.27793	-0.20057	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	161410
118.927	11.9908	2.37091	0.0319802	0.18856	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	49635.7
118.909	11.9951	2.23443	0.02734	0.185013	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	156852
120.71	12.2918	2.03788	0.284455	0.240556	120.695	12.2918	120.743	12.3289	2.21139	0.128528	55314.5
120.759	12.2939	2.19175	0.276548	0.228571	120.934	12.1905	120.743	12.3289	2.21139	0.128528	164935
123.484	12.8112	3.2014	0.0945366	-0.103468	123.568	12.8297	122.95	12.5114	2.29835	0.246599	62993.4
123.376	12.7815	2.60731	0.101941	-0.110748	123.142	12.7694	122.95	12.5114	2.29835	0.246599	178316
124.959	12.7811	1.74229	-0.0912436	-0.185368	124.894	12.7743	125.242	12.8125	2.37624	0.369827	58329.8
125.088	12.8042	2.40933	-0.0601122	-0.134783	125.376	12.9964	125.242	12.8125	2.37624	0.369827	178967
127.808	13.3125	2.94291	0.403338	0.330196	127.853	13.3273	127.609	13.2365	2.44434	0.495787	57531.7
127.741	13.3133	2.76997	0.41156	0.354192	127.506	13.153	127.609	13.2365	2.44434	0.495787	193643
129.968	13.7259	2.25604	0.244089	-0.0190102	129.947	13.6963	130.042	13.7853	2.50232	0.621879	65392.7
130.044	13.7353	2.42126	0.217639	-0.0448988	130.334	13.781	130.042	13.7853	2.50232	0.621879	206134
132.095	14.4999	2.41171	0.399676	0.128973	132.092	14.507	132.53	14.458	2.55028	0.74543	70526.3
132.173	14.5021	2.66885	0.370148	0.0792917	132.447	14.3423	132.53	14.458	2.55028	0.74543	229910
135.022	15.0414	3.23479	0.0432316	-0.247495	135.074	15.0475	135.066	15.2513	2.58865	0.863795	75310.3
134.999	15.0184	2.82962	0.0206953	-0.28999	135.127	14.6575	135.066	15.2513	2.58865	0.863795	246704
137.568	16.1881	2.65138	0.617831	0.381433	137.561	16.2147	137.639	16.1592	2.61821	0.974442	65509.2
137.617	16.1582	3.04118	0.536204	0.219004	137.653	16.5145	137.639	16.1592	2.61821	0.974442	285500
140.319	17.0205	2.94307	0.214672	-0.211822	140.331	17.008	140.242	17.1733	2.63994	1.07503	70966
140.327	17.021	2.9352	0.211974	-0.21452	140.305	17.5379	140.242	17.1733	2.63994	1.07503	316846
142.89	17.9805	2.94318	0.380119	0.0841064	142.888	17.9918	142.868	18.2829	2.65497	1.16346	79349
142.851	17.9734	2.94753	0.369115	0.0653891	142.626	18.1458	142.868	18.2829	2.65497	1.16346	353496
145.382	19.1567	3.09515	0.474372	0.0922249	145.392	19.1617	145.51	19.4754	2.66445	1.23795	87698.8
145.457	19.1664	3.15556	0.467796	0.0913767	145.789	19.3785	145.51	19.4754	2.66445	1.23795	402130
148.229	20.4698	3.40569	0.408673	-0.037157	148.251	20.4754	148.163	20.7364	2.66951	1.29702	88703.5
148.193	20.4657	3.09601	0.450445	0.0426495	148.146	20.9376	148.163	20.7364	2.66951	1.29702	458536
150.676	22.1055	3.28111	0.643604	0.156047	150.686	22.1142	150.825	22.0502	2.67111	1.33953	95148.9
150.675	22.101	3.35368	0.621743	0.111538	150.649	21.8148	150.825	22.0502	2.67111	1.33953	535156
153.413	23.4975	3.28705	0.389183	-0.166033	153.422	23.4909	153.491	23.3999	2.66999	1.3647	84000.2
153.385	23.4872	3.0493	0.411807	-0.12191	153.466	22.9115	153.491	23.3999	2.66999	1.3647	604645
156.033	24.7997	3.26392	0.4444	-0.00190669	156.047	24.8084	156.159	24.7682	2.66666	1.37208	106223
156.007	24.8031	2.98348	0.490151	0.0862554	156.009	25.0678	156.159	24.7682	2.66666	1.37208	674178
158.863	26.0189	3.46933	0.317159	-0.135789	158.905	26.0308	158.827	26.1372	2.66127	1.36157	103510
158.869	26.0151	3.23472	0.328665	-0.106577	159.014	26.1903	158.827	26.1372	2.66127	1.36157	741918
161.424	27.4203	3.13328	0.538998	0.139806	161.412	27.4256	161.493	27.4891	2.65371	1.33344	113820
161.444	27.4292	3.05374	0.561786	0.184944	161.529	27.8454	161.493	27.4891	2.65371	1.33344	824898
163.638	28.7819	2.7806	0.596149	0.07709	163.625	28.7683	164.155	28.8064	2.64354	1.28825	102445
163.754	28.7994	3.00477	0.544102	0.0100181	164.116	29.315	164.155	28.8064	2.64354	1.28825	909561
166.767	30.1862	3.74116	0.286669	-0.227527	166.828	30.2062	166.809	30.0721	2.63006	1.22694	114737
166.695	30.16	3.13222	0.324667	-0.157246	166.748	29.7121	166.809	30.0721	2.63006	1.22694	998122
169.119	31.3688	2.90107	0.453325	0.063574	169.097	31.3717	169.452	31.2706	2.61238	1.15075	125413
169.138	31.3715	2.93445	0.451858	0.0610745	169.345	30.7063	169.452	31.2706	2.61238	1.15075	1.08025e+06
172.125	32.3289	3.50801	0.183389	-0.215702	172.175	32.3404	172.079	32.3873	2.58945	1.06126	126458
172.1	32.3085	3.06588	0.174389	-0.231919	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.14557e+06
174.655	33.4485	2.91069	0.477322	0.177988	174.643	33.4625	174.685	33.4095	2.56021	0.960341	116657
